Id,Stage Name,Real Name (Korean),Group Name,Group Debut Year,Entertainment,Active,Roles,Height,Weight,Blood Type,Birth Date,Nationality,Personal IG,Group IG,Favorite
158,Hoony,Lee Seung Hoon,Winner,2014,YG,TRUE,"Main Dancer, Lead Rapper, Vocalist",185,65,A,11/1/1992,South Korean,maetamong,winnercity,FALSE
159,Mino,Song Min Ho,Winner,2014,YG,TRUE,"Main Rapper, Vocalist, Face of the Group",182,57,A,30/3/1993,South Korean,realllllmino,winnercity,FALSE
160,Taehyun,Nam Tae Hyun,Winner,2014,YG,TRUE,"Main Vocalist, Maknae",180,,A,10/5/1994,South Korean,souththth,winnercity,FALSE
161,Sangyeon,Lee Sang Yeon,The Boyz,2017,Cre.Ker,TRUE,"Leader, Main Vocalist",176,61,A,4/10/1996,South Korean,None,official_theboyz,FALSE
162,Jacob,Jacob Bae,The Boyz,2017,Cre.Ker,TRUE,Lead Vocalist,175,60,B,30/3/1997,Canadian,None,official_theboyz,FALSE
163,Younghoon,Kim Young Hoon,The Boyz,2017,Cre.Ker,TRUE,"Vocalist, Visual",183,61,A,8/8/1997,South Korean,None,official_theboyz,FALSE
164,Hyunjae,Lee Jae Hyun,The Boyz,2017,Cre.Ker,TRUE,"Lead Vocalist, Lead Dancer, Visual",179.7,62,B,13/9/1997,South Korean,None,official_theboyz,FALSE
165,Juyeon,Lee Ju Yeon,The Boyz,2017,Cre.Ker,TRUE,"Main Dancer, Vocalist, Visual",181,62,AB,15/1/1998,South Korean,None,official_theboyz,FALSE
166,Kevin,Kevin Moon,The Boyz,2017,Cre.Ker,TRUE,Main Vocalist,176,56,AB,23/2/1998,South Korean - Canadian,None,official_theboyz,FALSE
167,New,Choi Chan Hee,The Boyz,2017,Cre.Ker,TRUE,Main Vocalist,177,51,B,26/4/1998,South Korean,None,official_theboyz,FALSE
168,Q,Ji Chang Min,The Boyz,2017,Cre.Ker,TRUE,"Main Dancer, Vocalist",175,56,AB,5/11/1998,South Korean,None,official_theboyz,FALSE
169,Juhaknyeon,Ju Hak Nyeon,The Boyz,2017,Cre.Ker,TRUE,"Lead Dancer, Vocalist, Rapper",175,58,B,9/3/1999,South Korean,None,official_theboyz,FALSE
170,Sunwoo,Kim Sun Woo,The Boyz,2017,Cre.Ker,TRUE,"Main Rapper, Lead Dancer, Vocalist",177.4,60,B,12/4/2000,South Korean,None,official_theboyz,FALSE
171,Eric,Son Young Jae,The Boyz,2017,Cre.Ker,TRUE,"Lead Dancer, Lead Rapper, Vocalist, Maknae",174,56,A,22/12/2000,South Korean - American,None,official_theboyz,FALSE
172,Hwall,Heo Hyun Joon,The Boyz,2017,Cre.Ker,TRUE,"Lead Dancer, Lead Rapper, Vocalist",180,56,A,9/3/2000,South Korean,None,official_theboyz,FALSE
173,Choi Hyunsuk,Choi Hyun Suk,Treasure,2020,YG,TRUE,"Co-Leader, Main Rapper, Dancer",171,58,A,21/4/1999,South Korean,None,yg_treasure_official,FALSE
174,Jihoon,Park Ji Hoon,Treasure,2020,YG,TRUE,"Co-Leader, Dancer, Vocalist",178,69,B,14/3/2000,South Korean,None,yg_treasure_official,FALSE
175,Yoshi,,Treasure,2020,YG,TRUE,"Rapper, Dancer",179,66,A,15/5/2000,Japanese,None,yg_treasure_official,FALSE
176,Junkyu,Kim Jun Kyu,Treasure,2020,YG,TRUE,"Vocalist, Visual",178,65,O,9/9/2000,South Korean,None,yg_treasure_official,FALSE
177,Mashiho,,Treasure,2020,YG,TRUE,"Main Dancer, Vocalist, Visual",169,60,AB,25/3/2001,Japanese,None,yg_treasure_official,FALSE
178,Yoon Jaehyuk,Yoon Jae Hyuk,Treasure,2020,YG,TRUE,"Rapper, Vocalist",178,63,O,23/7/2001,South Korean,None,yg_treasure_official,FALSE
179,Asahi,,Treasure,2020,YG,TRUE,"Vocalist, Visual",173,57,AB,20/8/2001,Japanese,None,yg_treasure_official,FALSE
180,Bang Yedam,Bang Ye Dam,Treasure,2020,YG,TRUE,Main Vocalist,172,61,A,7/5/2002,South Korean,None,yg_treasure_official,FALSE
181,Haruto,,Treasure,2020,YG,TRUE,"Main Rapper, Visual",183,65,B,5/4/2004,Japanese,None,yg_treasure_official,FALSE
182,Doyoung,Kim Do Young,Treasure,2020,YG,TRUE,"Dancer, Vocalist",177,58,B,4/12/2003,South Korean,None,yg_treasure_official,FALSE
183,Park Jeongwoo,Park Jeong Woo,Treasure,2020,YG,TRUE,Main Vocalist,180.4,65,O,28/9/2004,South Korean,None,yg_treasure_official,FALSE
184,So Junghwan,So Jung Hwan,Treasure,2020,YG,TRUE,"Vocalist, Maknae",179.1,67,B,18/2/2005,South Korean,None,yg_treasure_official,FALSE
185,Bang Chan,Bang Chan,Stray Kids,2018,JYP,TRUE,"Leader, Producer, Vocalist, Dancer, Rapper",171,,O,3/10/1997,South Korean - Australian,None,realstraykids,FALSE
186,Lee Know,Lee Min Ho,Stray Kids,2018,JYP,TRUE,"Dancer, Vocalist, Rapper",172,,O,25/10/1998,South Korean,None,realstraykids,FALSE
187,Changbin,Seo Chang Bin,Stray Kids,2018,JYP,TRUE,"Rapper, Vocalist, Producer",167,,O,11/8/1999,South Korean,None,realstraykids,FALSE
188,Hyunjin,Hwang Hyun Jin,Stray Kids,2018,JYP,TRUE,"Dancer, Rapper, Vocalist, Visual",179,,B,20/3/2000,South Korean,None,realstraykids,FALSE
189,Han,Han Ji Sung,Stray Kids,2018,JYP,TRUE,"Rapper, Vocalist, Producer",169,,B,14/9/2000,South Korean,None,realstraykids,FALSE
190,Felix,Lee Yong Bok,Stray Kids,2018,JYP,TRUE,"Dancer, Rapper, Vocalist",171,,AB,15/9/2000,South Korean - Australian,None,realstraykids,FALSE
191,Seungmin,Kim Seung Min,Stray Kids,2018,JYP,TRUE,Vocalist,178,56,A,22/9/2000,South Korean,None,realstraykids,FALSE
192,I.N,Yang Jeong In,Stray Kids,2018,JYP,TRUE,"Vocalist, Maknae",172,,A,8/2/2001,South Korean,None,realstraykids,FALSE
193,Woojin,Kim Woo Jin,Stray Kids,2018,JYP,TRUE,Main Vocalist,176,,B,8/4/1997,South Korean,woooojin0408,realstraykids,FALSE
194,Hui,Lee Hoe Taek,Pentagon,2016,Cube,TRUE,"Leader, Main Vocalist, Lead Dancer, Producer",171,57,A,28/8/1993,South Korean,None,cube_ptg,FALSE
195,Jinho,Jo Jin Ho,Pentagon,2016,Cube,TRUE,Main Vocalist,168,52,A,17/4/1992,South Korean,None,cube_ptg,FALSE
196,Hongseok,Yang Hong Seok,Pentagon,2016,Cube,TRUE,Main Vocalist,180,68,A,17/4/1994,South Korean,None,cube_ptg,FALSE
197,Shinwon,Ko Shin Won,Pentagon,2016,Cube,TRUE,Sub Vocalist,184,68,A,11/12/1995,South Korean,None,cube_ptg,FALSE
198,Yanan,,Pentagon,2016,Cube,TRUE,"Sub Vocalist, Visual",187,70,A,25/10/1996,South Korean,None,cube_ptg,FALSE
199,Yeo One,Yeo Chang Gu,Pentagon,2016,Cube,TRUE,Lead Vocalist,179,60,B,27/3/1996,Chinese,None,cube_ptg,FALSE
200,Yuto,,Pentagon,2016,Cube,TRUE,"Lead Rapper, Lead Dancer, Sub Vocalist",185,63,O,23/1/1998,Japanese,None,cube_ptg,FALSE
201,Kino,Kang Hyung Gu,Pentagon,2016,Cube,TRUE,"Main Dancer, Sub Vocalist, Sub Rapper, Face of the Group",177,59,B,27/1/1998,South Korean,None,cube_ptg,FALSE
202,Wooseok,Jung Woo Seok,Pentagon,2016,Cube,TRUE,"Main Rapper, Sub Vocalist, Maknae",188.5,70,O,31/1/1998,South Korean,None,cube_ptg,FALSE
203,Dawn,Kim Hyo-jong,Pentagon,2016,Cube,TRUE,"Main Dancer, Lead Rapper, Sub Vocalist",173,60,O,1/6/1994,South Korean,hyojong_1994,cube_ptg,FALSE
204,Seungyeon,Jang Seung Yeon,Clc,2015,Cube,TRUE,"Leader, Main Dancer, Lead Vocalist, Sub Rapper",163,46,A,6/11/1996,South korean,seung_monkey,cube_clc_official,FALSE
205,Seunghee,Oh Seung Hee,Clc,2015,Cube,TRUE,Main Vocalist,161.4,49,A,10/10/1995,South Korean,ohseunghee_official_,cube_clc_official,FALSE
206,Yujin,Choi Yu Jin,Clc,2015,Cube,TRUE,"Lead Dancer, Sub Vocalist, Sub Rapper, Visual, Center",163,42,A,12/8/1996,South Korean,utokki_,cube_clc_official,FALSE
207,Sorn,,Clc,2015,Cube,TRUE,Lead Vocalist,164,48,A,18/11/1996,Thai,sssorn_chonnasorn,cube_clc_official,FALSE
208,Yeeun,Jang Ye Eun,Clc,2015,Cube,TRUE,"Main Rapper, Sub Vocalist",166,49,B,10/8/1998,South Korean,yyyyeeun,cube_clc_official,FALSE
209,Eunbin,Kwon Eun Bin,Clc,2015,Cube,TRUE,"Sub Vocalist, Sub Rapper, Face of the Group, Maknae",171,48,B,6/1/2000,South Korean,superb_ean,cube_clc_official,FALSE
210,Elkie,,Clc,2015,Cube,TRUE,"Lead Vocalist, Lead Dancer, Visual",163,46,O,2/11/1998,Chinese,chongtingyanelkie,cube_clc_official,FALSE
211,Jihyun,Son Ji Hyun,4minute,2009,Cube,FALSE,"Leader, Lead Dancer, Vocalist, Visual",167,49,,9/1/1990,South Korean,jihyunilovee,None,FALSE
212,Gayoon,Heo Ga Yoon,4minute,2009,Cube,FALSE,Main Vocalist,165,47,,18/5/1990,South Korean,gayoon_heo,None,FALSE
213,Jiyoon,Jeon Ji Yoon,4minute,2009,Cube,FALSE,"Lead Rapper, Lead Vocalist",165,47,,15/10/1990,South Korean,jenyerjiyoon,None,FALSE
214,Hyuna,Kim Hyun Ah,4minute,2009,Cube,FALSE,"Main Dancer, Main Rapper, Vocalist, Face of the Group",164,44,O,6/6/1992,South Korean,hyunah_aa,None,FALSE
215,Sohyun,Kwon So Hyun,4minute,2009,Cube,FALSE,"Lead Dancer, Vocalist, Rapper, Maknae",162,45,,30/8/1994,South Korean,kkwonsso_94,None,FALSE
216,Yeonjun,Choi Yeon Jun,Txt,2019,Big Hit,TRUE,"Rapper, Dancer, Vocalist",181.5,62,A,13/9/1999,South Korean,None,txt_bighit,FALSE
217,Soobin,Choi Soo Bin,Txt,2019,Big Hit,TRUE,"Leader, Vocalist, Rapper, Dancer",185,67,A,5/12/2000,South Korean,None,txt_bighit,FALSE
218,Beomgyu,Choi Beom Gyu,Txt,2019,Big Hit,TRUE,"Vocalist, Dancer, Rapper, Center, Visual",180,53,AB,13/3/2001,South Korean,None,txt_bighit,FALSE
219,Taehyun,Kang Tae Hyun,Txt,2019,Big Hit,TRUE,"Vocalist, Dancer, Rapper",177,55,A,5/2/2002,South Korean,None,txt_bighit,FALSE
220,Huening Kai,Jung Kai,Txt,2019,Big Hit,TRUE,"Vocalist, Dancer, Rapper, Visual, Maknae",183,67,A,14/8/2002,South Korean - American,None,txt_bighit,FALSE
